laureat_amoa; entreprises
Cyber Security Engineer , 
Cyber Security Engineer at SYLink Technologie , France
Cyber Security Engineer at Fidaroc Grant Thornton , 
Cyber Security Engineer Intern at SEKERA , 
Bug Bounty Hunter | CyberSecurity Engineer | Security Researcher | этический хакер , 
Jr. Cyber Security Engineer / Analyst || Blue Team || CompTIA Security+ || Fortinet NSE4 || CyberArk-TRUSTEE || Mile2 CSA1 ||. , 
Cybersecurity Engineer || Comptia Security + , 
Security Engineer at Banque Centrale Populaire - BCP , Casablanca, Casablanca-Settat, Morocco
CYBER SECURITY ENGINEER |SOC ANALYST|NETWORK ENGINEER|SYSTEM ENGINEER , 
Cyber Security Engineer | SYLink_Technology , 
Cyber Security Engineer at SYLink Technologie , Clermont-Ferrand, Auvergne-Rhône-Alpes, France
Cybersecurity Enthusiast | Purple Team Wannabe | Engineer | Analyst , Casablanca, Casablanca-Settat, Morocco
𝘾𝙮𝙗𝙚𝙧 𝙎𝙚𝙘𝙪𝙧𝙞𝙩𝙮 𝘾𝙤𝙣𝙨𝙪𝙡𝙩𝙖𝙣𝙩 𝙖𝙩 𝘿𝙚𝙡𝙤𝙞𝙩𝙩𝙚 | CompTIA Security+ , Casablanca, Casablanca-Settat, Morocco
Junior Cybersecurity engineer | Azure AZ-500 Certified | Ingénieur cybersécurité et confiance numérique , 
Cyber Security Engineer intern at Atos , 
Cybersecurity engineer | AWS Certified Security Specialty and Solutions Architect Associate | HCIA Security , 
Cyber Security Consultant at ISE Systems , 
Étudiant à INPT Institut National des Postes et Télécommunications , 
Cyber Security Engineering Student at INPT , Marrakesh, Marrakesh-Safi, Morocco
Cyber Security Consultant , Casablanca, Casablanca-Settat, Morocco
Cyber Security Intern at Fidaroc Grant Thornton , 
Cyber Security and Digital Trust Engineer | Currently looking for a 6 month internship in Cybersecurity , 
Cybersecurity engineer intern , 
cyber security consultant @Deloitte , Casablanca Metropolitan Area
Cybersecurity Engineer Intern , Casablanca, Casablanca-Settat, Morocco
Embedded Systems Engineer , 
Engineering Student at Institut National des Postes et Télécommunications (INPT) , 
CyberSecurity Engineer , 
Cybersecurity engineering student at Telecom Paris , 
Cybersecurity Analyst at Dataxium | Hacker HackTheBox & TryHackMe | HCIA R&S | NSE 1 | NSE 2 , Greater Paris Metropolitan Region
Ingénieure Cybersécurité et Confiance Numérique , Évry, Île-de-France, France
Cybersecurity engineering | SYLink Technologie , 
network & Security Engineer at DGAC-MAROC , 
Security Projects Team manager at CREDIT DU MAROC , 
